-153198;-153198~-33962;-153198~-12623;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-104471;-153198~-33962;-153198~-12623;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-55540;-153198~-33962;-153198~-12623;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-40337;-153198~-33962;-153198~-12623;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-33962;-153198~-33962;-153198~-12623;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-30032;-30032~-27625;-153198~-12623;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-29683;-30032~-27625;-153198~-12623;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-28961;-30032~-27625;-153198~-12623;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-28878;-30032~-27625;-153198~-12623;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-27625;-30032~-27625;-153198~-12623;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-26717;-26717~-21298;-153198~-12623;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-26633;-26717~-21298;-153198~-12623;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-26110;-26717~-21298;-153198~-12623;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-21518;-26717~-21298;-153198~-12623;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-21298;-26717~-21298;-153198~-12623;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-20488;-20488~-15454;-153198~-12623;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-19250;-20488~-15454;-153198~-12623;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-17282;-20488~-15454;-153198~-12623;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-17230;-20488~-15454;-153198~-12623;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-15454;-20488~-15454;-153198~-12623;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-14992;-14992~-12623;-153198~-12623;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-14071;-14992~-12623;-153198~-12623;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-13856;-14992~-12623;-153198~-12623;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-13444;-14992~-12623;-153198~-12623;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-12623;-14992~-12623;-153198~-12623;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-12040;-12040~-10162;-12040~-3637;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-11851;-12040~-10162;-12040~-3637;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-11080;-12040~-10162;-12040~-3637;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-10928;-12040~-10162;-12040~-3637;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-10162;-12040~-10162;-12040~-3637;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-9902;-9902~-8607;-12040~-3637;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-9829;-9902~-8607;-12040~-3637;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-9358;-9902~-8607;-12040~-3637;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-8648;-9902~-8607;-12040~-3637;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-8607;-9902~-8607;-12040~-3637;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-8315;-8315~-6772;-12040~-3637;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-8101;-8315~-6772;-12040~-3637;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-8036;-8315~-6772;-12040~-3637;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-7637;-8315~-6772;-12040~-3637;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-6772;-8315~-6772;-12040~-3637;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-6431;-6431~-4667;-12040~-3637;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-6046;-6431~-4667;-12040~-3637;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-5739;-6431~-4667;-12040~-3637;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-4942;-6431~-4667;-12040~-3637;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-4667;-6431~-4667;-12040~-3637;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-4592;-4592~-3637;-12040~-3637;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-4246;-4592~-3637;-12040~-3637;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-3977;-4592~-3637;-12040~-3637;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-3707;-4592~-3637;-12040~-3637;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-3637;-4592~-3637;-12040~-3637;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-3617;-3617~-2999;-3617~4;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-3263;-3617~-2999;-3617~4;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-3177;-3617~-2999;-3617~4;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-3030;-3617~-2999;-3617~4;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-2999;-3617~-2999;-3617~4;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-2882;-2882~-2177;-3617~4;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-2847;-2882~-2177;-3617~4;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-2479;-2882~-2177;-3617~4;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-2405;-2882~-2177;-3617~4;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-2177;-2882~-2177;-3617~4;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-2072;-2072~-896;-3617~4;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-1418;-2072~-896;-3617~4;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-1334;-2072~-896;-3617~4;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-1000;-2072~-896;-3617~4;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-896;-2072~-896;-3617~4;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-757;-757~-199;-3617~4;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-742;-757~-199;-3617~4;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-723;-757~-199;-3617~4;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-257;-757~-199;-3617~4;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-199;-757~-199;-3617~4;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
-89;-89~4;-3617~4;-153198~58;-153198~1289;-153198~7525;-153198~39832;*
