18;16~20;1~25;1~50;*
19;16~20;1~25;1~50;*
20;16~20;1~25;1~50;*
21;21~25;1~25;1~50;*
22;21~25;1~25;1~50;*
23;21~25;1~25;1~50;*
24;21~25;1~25;1~50;*
25;21~25;1~25;1~50;*
26;26~30;26~50;1~50;*
27;26~30;26~50;1~50;*
28;26~30;26~50;1~50;*
29;26~30;26~50;1~50;*
30;26~30;26~50;1~50;*
31;31~35;26~50;1~50;*
32;31~35;26~50;1~50;*
33;31~35;26~50;1~50;*
34;31~35;26~50;1~50;*
35;31~35;26~50;1~50;*
36;36~40;26~50;1~50;*
37;36~40;26~50;1~50;*
38;36~40;26~50;1~50;*
39;36~40;26~50;1~50;*
40;36~40;26~50;1~50;*
41;41~45;26~50;1~50;*
42;41~45;26~50;1~50;*
43;41~45;26~50;1~50;*
44;41~45;26~50;1~50;*
45;41~45;26~50;1~50;*
46;46~50;26~50;1~50;*
47;46~50;26~50;1~50;*
48;46~50;26~50;1~50;*
49;46~50;26~50;1~50;*
50;46~50;26~50;1~50;*
51;51~55;51~75;51~100;*
52;51~55;51~75;51~100;*
53;51~55;51~75;51~100;*
54;51~55;51~75;51~100;*
55;51~55;51~75;51~100;*
56;56~60;51~75;51~100;*
57;56~60;51~75;51~100;*
58;56~60;51~75;51~100;*
59;56~60;51~75;51~100;*
60;56~60;51~75;51~100;*
61;61~65;51~75;51~100;*
62;61~65;51~75;51~100;*
63;61~65;51~75;51~100;*
64;61~65;51~75;51~100;*
65;61~65;51~75;51~100;*
66;66~70;51~75;51~100;*
67;66~70;51~75;51~100;*
68;66~70;51~75;51~100;*
69;66~70;51~75;51~100;*
70;66~70;51~75;51~100;*
71;71~75;51~75;51~100;*
72;71~75;51~75;51~100;*
73;71~75;51~75;51~100;*
74;71~75;51~75;51~100;*
75;71~75;51~75;51~100;*
76;76~80;76~100;51~100;*
77;76~80;76~100;51~100;*
78;76~80;76~100;51~100;*
79;76~80;76~100;51~100;*
80;76~80;76~100;51~100;*
81;81~85;76~100;51~100;*
82;81~85;76~100;51~100;*
83;81~85;76~100;51~100;*
84;81~85;76~100;51~100;*
85;81~85;76~100;51~100;*
86;86~90;76~100;51~100;*
87;86~90;76~100;51~100;*
88;86~90;76~100;51~100;*
93;91~95;76~100;51~100;*
96;96~100;76~100;51~100;*
