-114.31;-114.3;-114;*
-114.47;-114.4;-114;*
-114.49;-114.4;-114;*
-114.55;-114.5;-114;*
-114.56;-114.5;-114;*
-114.57;-114.5;-114;*
-114.58;-114.5;-114;*
-114.59;-114.5;-114;*
-114.6;-114.6;-114;*
-114.61;-114.6;-114;*
-114.62;-114.6;-114;*
-114.63;-114.6;-114;*
-114.64;-114.6;-114;*
-114.65;-114.6;-114;*
-114.66;-114.6;-114;*
-114.67;-114.6;-114;*
-114.68;-114.6;-114;*
-114.73;-114.7;-114;*
-114.94;-114.9;-114;*
-114.98;-114.9;-114;*
-115.22;-115.2;-115;*
-115.32;-115.3;-115;*
-115.37;-115.3;-115;*
-115.38;-115.3;-115;*
-115.39;-115.3;-115;*
-115.40;-115.4;-115;*
-115.41;-115.4;-115;*
-115.46;-115.4;-115;*
-115.48;-115.4;-115;*
-115.49;-115.4;-115;*
-115.50;-115.5;-115;*
-115.51;-115.5;-115;*
-115.52;-115.5;-115;*
-115.53;-115.5;-115;*
-115.54;-115.5;-115;*
-115.55;-115.5;-115;*
-115.56;-115.5;-115;*
-115.57;-115.5;-115;*
-115.58;-115.5;-115;*
-115.59;-115.5;-115;*
-115.6;-115.6;-115;*
-115.62;-115.6;-115;*
-115.64;-115.6;-115;*
-115.69;-115.6;-115;*
-115.72;-115.7;-115;*
-115.73;-115.7;-115;*
-115.75;-115.7;-115;*
-115.8;-115.8;-115;*
-115.84;-115.8;-115;*
-115.85;-115.8;-115;*
-115.88;-115.8;-115;*
-115.9;-115.9;-115;*
-115.91;-115.9;-115;*
-115.93;-115.9;-115;*
-115.94;-115.9;-115;*
-115.95;-115.9;-115;*
-115.96;-115.9;-115;*
-115.98;-115.9;-115;*
-115.99;-115.9;-115;*
-116.00;-116.0;-116;*
-116.01;-116.0;-116;*
-116.02;-116.0;-116;*
-116.05;-116.0;-116;*
-116.06;-116.0;-116;*
-116.08;-116.0;-116;*
-116.09;-116.0;-116;*
-116.11;-116.1;-116;*
-116.12;-116.1;-116;*
-116.14;-116.1;-116;*
-116.15;-116.1;-116;*
-116.16;-116.1;-116;*
-116.17;-116.1;-116;*
-116.18;-116.1;-116;*
-116.19;-116.1;-116;*
-116.2;-116.2;-116;*
-116.21;-116.2;-116;*
-116.22;-116.2;-116;*
-116.23;-116.2;-116;*
-116.24;-116.2;-116;*
-116.25;-116.2;-116;*
-116.26;-116.2;-116;*
-116.27;-116.2;-116;*
-116.28;-116.2;-116;*
-116.29;-116.2;-116;*
-116.3;-116.3;-116;*
-116.31;-116.3;-116;*
-116.32;-116.3;-116;*
-116.33;-116.3;-116;*
-116.34;-116.3;-116;*
-116.35;-116.3;-116;*
-116.36;-116.3;-116;*
-116.37;-116.3;-116;*
-116.38;-116.3;-116;*
-116.39;-116.3;-116;*
-116.4;-116.4;-116;*
-116.41;-116.4;-116;*
-116.42;-116.4;-116;*
-116.43;-116.4;-116;*
-116.44;-116.4;-116;*
-116.45;-116.4;-116;*
-116.46;-116.4;-116;*
-116.47;-116.4;-116;*
-116.48;-116.4;-116;*
-116.49;-116.4;-116;*
-116.5;-116.5;-116;*
-116.51;-116.5;-116;*
-116.52;-116.5;-116;*
-116.53;-116.5;-116;*
-116.54;-116.5;-116;*
-116.55;-116.5;-116;*
