0.4999;0.0000~3.5347;*
0.5360;0.0000~3.5347;*
0.5495;0.0000~3.5347;*
0.6433;0.0000~3.5347;*
0.6775;0.0000~3.5347;*
0.6825;0.0000~3.5347;*
0.6831;0.0000~3.5347;*
0.6960;0.0000~3.5347;*
0.6991;0.0000~3.5347;*
0.7007;0.0000~3.5347;*
0.7025;0.0000~3.5347;*
0.7054;0.0000~3.5347;*
0.7068;0.0000~3.5347;*
0.7069;0.0000~3.5347;*
0.7075;0.0000~3.5347;*
0.7160;0.0000~3.5347;*
0.7235;0.0000~3.5347;*
0.7286;0.0000~3.5347;*
0.7403;0.0000~3.5347;*
0.7445;0.0000~3.5347;*
0.7473;0.0000~3.5347;*
0.7500;0.0000~3.5347;*
0.7526;0.0000~3.5347;*
0.7591;0.0000~3.5347;*
0.7600;0.0000~3.5347;*
0.7683;0.0000~3.5347;*
0.7684;0.0000~3.5347;*
0.7685;0.0000~3.5347;*
0.7714;0.0000~3.5347;*
0.7800;0.0000~3.5347;*
0.7917;0.0000~3.5347;*
0.7990;0.0000~3.5347;*
0.8012;0.0000~3.5347;*
0.8024;0.0000~3.5347;*
0.8026;0.0000~3.5347;*
0.8054;0.0000~3.5347;*
0.8056;0.0000~3.5347;*
0.8075;0.0000~3.5347;*
0.8106;0.0000~3.5347;*
0.8130;0.0000~3.5347;*
0.8131;0.0000~3.5347;*
0.8172;0.0000~3.5347;*
0.8185;0.0000~3.5347;*
0.8198;0.0000~3.5347;*
0.8229;0.0000~3.5347;*
0.8246;0.0000~3.5347;*
0.8252;0.0000~3.5347;*
0.8288;0.0000~3.5347;*
0.8351;0.0000~3.5347;*
0.8362;0.0000~3.5347;*
0.8438;0.0000~3.5347;*
0.8440;0.0000~3.5347;*
0.8478;0.0000~3.5347;*
0.8527;0.0000~3.5347;*
0.8543;0.0000~3.5347;*
0.8571;0.0000~3.5347;*
0.8585;0.0000~3.5347;*
0.8639;0.0000~3.5347;*
0.8641;0.0000~3.5347;*
0.8658;0.0000~3.5347;*
0.8668;0.0000~3.5347;*
0.8691;0.0000~3.5347;*
0.8702;0.0000~3.5347;*
0.8738;0.0000~3.5347;*
0.8804;0.0000~3.5347;*
0.8836;0.0000~3.5347;*
0.8894;0.0000~3.5347;*
0.8907;0.0000~3.5347;*
0.8926;0.0000~3.5347;*
0.8928;0.0000~3.5347;*
0.8941;0.0000~3.5347;*
0.8952;0.0000~3.5347;*
0.8964;0.0000~3.5347;*
0.8984;0.0000~3.5347;*
0.8991;0.0000~3.5347;*
0.9000;0.0000~3.5347;*
0.9011;0.0000~3.5347;*
0.9142;0.0000~3.5347;*
0.9166;0.0000~3.5347;*
