8.3252;70696-106043;*
8.3014;70696-106043;*
7.2574;70696-106043;*
5.6431;35348-70695;*
3.8462;35348-70695;*
4.0368;35348-70695;*
3.6591;35348-70695;*
3.12;0-35347;*
2.0804;0-35347;*
3.6912;35348-70695;*
3.2031;0-35347;*
3.2705;0-35347;*
3.075;0-35347;*
2.6736;0-35347;*
1.9167;0-35347;*
2.125;0-35347;*
2.775;0-35347;*
2.1202;0-35347;*
1.9911;0-35347;*
2.6033;0-35347;*
1.3578;0-35347;*
1.7135;0-35347;*
1.725;0-35347;*
2.1806;0-35347;*
2.6;0-35347;*
2.4038;0-35347;*
2.4597;0-35347;*
1.808;0-35347;*
1.6424;0-35347;*
1.6875;0-35347;*
1.9274;0-35347;*
1.9615;0-35347;*
1.7969;0-35347;*
1.375;0-35347;*
2.7303;0-35347;*
1.4861;0-35347;*
1.0972;0-35347;*
1.4103;0-35347;*
3.48;0-35347;*
2.5898;0-35347;*
2.0978;0-35347;*
1.2852;0-35347;*
1.025;0-35347;*
3.9643;35348-70695;*
3.0125;0-35347;*
2.6768;0-35347;*
2.026;0-35347;*
1.7348;0-35347;*
0.9506;0-35347;*
1.775;0-35347;*
0.9218;0-35347;*
1.5045;0-35347;*
1.1108;0-35347;*
1.2475;0-35347;*
1.6098;0-35347;*
1.4113;0-35347;*
1.5057;0-35347;*
0.8172;0-35347;*
1.2171;0-35347;*
2.5625;0-35347;*
3.3929;0-35347;*
6.1183;35348-70695;*
0.9011;0-35347;*
1.1909999999999998;0-35347;*
2.5938;0-35347;*
1.1667;0-35347;*
0.8056;0-35347;*
2.6094;0-35347;*
1.8516;0-35347;*
0.9802;0-35347;*
1.7719;0-35347;*
0.7286;0-35347;*
1.75;0-35347;*
0.4999;0-35347;*
2.483;0-35347;*
0.9241;0-35347;*
2.4464;0-35347;*
1.1111;0-35347;*
0.8026;0-35347;*
2.0114;0-35347;*
1.5;0-35347;*
1.5208;0-35347;*
0.8075;0-35347;*
1.8088;0-35347;*
2.4083;0-35347;*
0.977;0-35347;*
0.76;0-35347;*
0.9722;0-35347;*
1.2434;0-35347;*
2.0938;0-35347;*
0.8668;0-35347;*
0.75;0-35347;*
2.6354;0-35347;*
1.8477;0-35347;*
2.0096;0-35347;*
2.8345;0-35347;*
2.0062;0-35347;*
1.2185;0-35347;*
2.6104;0-35347;*
2.4912;0-35347;*
3.2177;0-35347;*
3.125;0-35347;*
2.5795;0-35347;*
2.8406;0-35347;*
4.9306;35348-70695;*
3.2727;0-35347;*
3.1691;0-35347;*
3.9;35348-70695;*
3.9063;35348-70695;*
5.0917;35348-70695;*
2.6429;0-35347;*
3.0233;0-35347;*
3.1484;0-35347;*
3.4722;0-35347;*
3.1429;0-35347;*
2.4234;0-35347;*
3.0897;0-35347;*
5.8596;35348-70695;*
5.2868;35348-70695;*
5.956;35348-70695;*
4.9643;35348-70695;*
6.3434;35348-70695;*
5.1773;35348-70695;*
7.2354;70696-106043;*
5.457000000000002;35348-70695;*
7.5;70696-106043;*
6.0194;35348-70695;*
7.5544;70696-106043;*
6.0666;35348-70695;*
7.0548;35348-70695;*
11.6017;70696-106043;*
7.4882;70696-106043;*
6.8976;35348-70695;*
8.2049;70696-106043;*
8.401;70696-106043;*
